order_id,order_date,order_time,year,month,month_name,quarter,day_ofweek,customer_id,customer_name,customer_type,customer_city,customer_country,contact_email,contact_phone,product_id,product_name,product_code,product_category,product_sub_category,product_description,order_quantity,unit_price,total_price,delivery_date,delivery_location,factory_id,factory_name,factory_location,factory_city,factory_country,factory_capacity,assembly_line_id,assembly_line_name,line_type,line_capacity,current_load,scheduled_start_date,actual_start_date,scheduled_end_date,actual_end_date,production_status,completion_percent,quality_score,defects,rework_required,scheduled_delivery,actual_delivery,delivery_status,delay_days,note
ORD00000017,2024-12-13,14:33,2024,7,JULYY,Q3,Thursday,CUST000018,Customer 18,Retailer,Delhi,India,customer18@company.com,9578367882,PROD000018,Product 18,PC882490,Machinery,Pumps,High-quality Product 18,769,4115.93,3165150.17,2024-01-18,"Delhi, 969540",FAC02,Factory 2,Plant 2,Delhi,India,938295,LINE018,Assembly Line 18,Painting,47383,8552,2024-03-13,2024-07-05,2024-10-04,null,Completed,12,89.78,40,Yes,2024-09-21,null,In Transit,-1,Order ORD00000017 - Production running smoothly
ORD00000018,2024-05-11,14:08,2024,4,April,Q2,Friday,CUST000019,Customer 19,Corporate,Bangalore,India,customer19@company.com,9407758108,PROD000019,Product 19,PC534376,Consumer Goods,Appliances,High-quality Product 19,266,4217.43,1121836.38,2024-01-03,"Bangalore, 290402",FAC03,Factory 3,Plant 3,Bangalore,India,435766,LINE019,Assembly Line 19,Packaging,16965,23010,2024-05-03,2024-12-28,2024-02-13,2024-06-06,On Hold,96,90.53,22,Yes,2024-04-09,2024-12-07,Delivered,16,Order ORD00000018 - Production running smoothly
ORD00000019,2024-10-18,09:28,2024,3,March,Q1,Saturday,CUST000020,Customer 20,Individual,Pune,India,customer20@company.com,9369526855,PROD000020,Product 20,PC303040,Industrial Equipment,Motors,High-quality Product 20,377,3045.15,1148021.55,2024-03-15,"Pune, 104381",FAC04,Factory 4,Plant 4,Pune,India,416983,LINE020,Assembly Line 20,Testing,7372,16695,2024-02-25,2024-06-01,2024-12-05,2024-09-28,Cancelled,69,82.49,31,Yes,2024-01-03,2024-10-10,Delayed,0,Order ORD00000019 - Quality issues detected
ORD00000020,2024-05-21,13:39,2024,11,November,Q4,Sunday,CUST000021,Customer 21,OEM,Hyderabad,India,customer21@company.com,9253241724,PROD000021,Product 21,PC756052,Electronics,Controllers,High-quality Product 21,587,2711.83,1591844.21,2024-04-13,"Hyderabad, 483044",FAC05,Factory 5,Plant 5,Hyderabad,India,860536,LINE021,Assembly Line 21,Assembly,48451,9004,2024-03-03,2024-05-14,2024-05-28,2024-01-22,Planned,66,90.36,7,No,2024-03-22,2024-02-04,Pending,15,Order ORD00000020 - Production running smoothly
ORD00000021,2024-10-12,17:49,2024,3,March,Q1,Monday,CUST000022,Customer 22,Distributor,Chennai,India,customer22@company.com,9497733225,PROD000022,Product 22,PC627188,Automotive,Engines,High-quality Product 22,865,3684.09,3186737.85,2024-04-07,"Chennai, 461841",FAC06,Factory 6,Plant 6,Chennai,India,351523,LINE022,Assembly Line 22,Welding,26980,30720,2024-05-19,2024-06-24,2024-05-14,null,In Progress,21,74.22,21,Yes,2024-04-11,2024-05-10,Shipped,18,Order ORD00000021 - Quality issues detected
ORD00000022,2024-10-18,13:42,2024,2,February,Q1,Tuesday,CUST000023,Customer 23,Retailer,Kolkata,India,customer23@company.com,9462970354,PROD000023,Product 23,PC937095,Machinery,Pumps,High-quality Product 23,136,3507.51,477021.36,2024-01-24,"Kolkata, 894218",FAC07,Factory 7,Plant 7,Kolkata,India,954277,LINE023,Assembly Line 23,Painting,22928,1105,2024-09-09,null,2024-12-12,2024-11-06,Completed,14,71.19,18,Yes,2024-07-01,2024-11-12,In Transit,1,Order ORD00000022 - Quality issues detected
ORD00000023,2024-10-09,17:27,2024,3,March,Q1,Wednesday,CUST000024,Customer 24,Corporate,Jaipur,India,customer24@company.com,9714670228,PROD000024,Product 24,PC460301,Consumer Goods,Appliances,High-quality Product 24,604,2395.21,1446706.84,2024-09-22,"Jaipur, 774903",FAC08,Factory 8,Plant 8,Jaipur,India,400452,LINE024,Assembly Line 24,Packaging,36983,10471,2024-06-03,2024-02-16,2024-04-09,null,On Hold,42,81.69,17,Yes,2024-11-14,2024-06-07,Delivered,14,Order ORD00000023 - Quality issues detected
ORD00000024,2024-01-21,13:46,2024,6,June,Q2,Thursday,CUST000025,Customer 25,Individual,Mumbai,India,customer25@company.com,9718823553,PROD000025,Product 25,PC994120,Industrial Equipment,Motors,High-quality Product 25,286,4299.17,1229562.62,2024-06-04,"Mumbai, 330375",FAC01,Factory 1,Plant 1,Mumbai,India,110749,LINE025,Assembly Line 25,Testing,35939,5162,2024-01-01,2024-02-07,2024-06-21,2024-06-11,Cancelled,75,85.6,10,No,2024-03-12,null,Delayed,16,Order ORD00000024 - Production running smoothly
ORD00000025,2024-01-12,08:17,2024,9,September,Q3,Friday,CUST000026,Customer 26,OEM,Delhi,India,customer26@company.com,9146368543,PROD000026,Product 26,PC944493,Electronics,Controllers,High-quality Product 26,412,4899.6,2018635.2,2024-06-11,"Delhi, 647440",FAC02,Factory 2,Plant 2,Delhi,India,580504,LINE026,Assembly Line 26,Assembly,48893,17264,2024-01-21,2024-08-02,2024-04-03,null,Planned,95,79.44,40,Yes,2024-03-13,null,Pending,17,Order ORD00000025 - Quality issues detected
ORD00000026,2024-12-18,10:42,2024,11,November,Q4,Saturday,CUST000027,Customer 27,Distributor,Bangalore,India,customer27@company.com,9235179911,PROD000027,Product 27,PC929250,Automotive,Engines,High-quality Product 27,449,3288.17,1476388.33,2024-07-28,"Bangalore, 826904",FAC03,Factory 3,Plant 3,Bangalore,India,433134,LINE027,Assembly Line 27,Welding,31571,6635,2024-01-14,2024-12-13,2024-08-18,2024-09-15,In Progress,66,96.86,23,Yes,2024-08-02,2024-06-11,Shipped,-2,Order ORD00000026 - Production running smoothly
ORD00000027,2024-08-07,17:13,2024,4,April,Q2,Sunday,CUST000028,Customer 28,Retailer,Pune,India,customer28@company.com,9474949775,PROD000028,Product 28,PC109176,Machinery,Pumps,High-quality Product 28,391,131.92,51580.72,2024-01-06,"Pune, 396969",FAC04,Factory 4,Plant 4,Pune,India,772101,LINE028,Assembly Line 28,Painting,16721,2839,2024-05-05,null,2024-05-09,2024-04-20,Completed,45,84.52,38,Yes,2024-12-11,2024-11-07,In Transit,10,Order ORD00000027 - Quality issues detected
ORD00000028,2024-08-01,11:54,2024,9,September,Q3,Monday,CUST000029,Customer 29,Corporate,Hyderabad,India,customer29@company.com,9431263721,PROD000029,Product 29,PC923388,Consumer Goods,Appliances,High-quality Product 29,289,1898.62,548701.18,2024-03-05,"Hyderabad, 531560",FAC05,Factory 5,Plant 5,Hyderabad,India,954053,LINE029,Assembly Line 29,Packaging,33471,33261,2024-09-26,2024-10-16,2024-02-27,null,On Hold,65,88.75,37,Yes,2024-04-03,2024-09-05,Delivered,5,Order ORD00000028 - Production running smoothly
ORD00000029,2024-08-17,17:43,2024,11,November,Q4,Tuesday,CUST000030,Customer 30,Individual,Chennai,India,customer30@company.com,9822835497,PROD000030,Product 30,PC871419,Industrial Equipment,Motors,High-quality Product 30,256,2429.75,622016,2024-05-02,"Chennai, 504725",FAC06,Factory 6,Plant 6,Chennai,India,823611,LINE030,Assembly Line 30,Testing,23897,14188,2024-02-17,2024-08-12,2024-01-17,2024-12-22,Cancelled,9,96.11,7,No,2024-10-21,2024-01-08,Delayed,-1,Order ORD00000029 - Production running smoothly
ORD00000030,2024-02-16,11:13,2024,6,June,Q2,Wednesday,CUST000031,Customer 31,OEM,Kolkata,India,customer31@company.com,9260519299,PROD000031,Product 31,PC365099,Electronics,Controllers,High-quality Product 31,67,4509.46,302133.82,2024-02-24,"Kolkata, 602131",FAC07,Factory 7,Plant 7,Kolkata,India,231581,LINE001,Assembly Line 1,Assembly,43144,16635,2024-02-21,2024-04-18,2024-08-02,2024-06-14,Planned,80,87.99,16,Yes,2024-02-08,2024-02-26,Pending,2,Order ORD00000030 - Production running smoothly
ORD00000031,2024-02-28,13:22,2024,3,March,Q1,Thursday,CUST000032,Customer 32,Distributor,Jaipur,India,customer32@company.com,9451995061,PROD000032,Product 32,PC166205,Automotive,Engines,High-quality Product 32,691,3113.71,2151573.61,2024-06-20,"Jaipur, 429303",FAC08,Factory 8,Plant 8,Jaipur,India,439760,LINE002,Assembly Line 2,Welding,34270,9409,2024-01-05,2024-05-10,2024-02-08,2024-03-28,In Progress,13,80.63,40,Yes,2024-12-15,2024-03-09,Shipped,17,Order ORD00000031 - Quality issues detected
ORD00000032,2024-11-13,11:06,2024,7,July,Q3,Friday,CUST000033,Customer 33,Retailer,Mumbai,India,customer33@company.com,9445343424,PROD000033,Product 33,PC306207,Machinery,Pumps,High-quality Product 33,23,3645.09,83837.07,2024-03-01,"Mumbai, 395847",FAC01,Factory 1,Plant 1,Mumbai,India,880337,LINE003,Assembly Line 3,Painting,15648,9977,2024-12-17,null,2024-08-14,null,Completed,17,70.85,13,Yes,2024-07-10,2024-05-22,In Transit,8,Order ORD00000032 - Quality issues detected
ORD00000033,2024-06-15,11:12,2024,5,May,Q2,Saturday,CUST000034,Customer 34,Corporate,Delhi,India,customer34@company.com,9282004481,PROD000034,Product 34,PC763016,Consumer Goods,Appliances,High-quality Product 34,185,4868.55,900681.75,2024-08-04,"Delhi, 368310",FAC02,Factory 2,Plant 2,Delhi,India,441937,LINE004,Assembly Line 4,Packaging,19605,8069,2024-03-10,2024-02-07,2024-12-19,2024-02-15,On Hold,16,98.91,32,Yes,2024-08-19,2024-10-08,Delivered,12,Order ORD00000033 - Production running smoothly
ORD00000034,2024-08-27,17:16,2024,2,February,Q1,Sunday,CUST000035,Customer 35,Individual,Bangalore,India,customer35@company.com,9298252268,PROD000035,Product 35,PC916547,Industrial Equipment,Motors,High-quality Product 35,392,3512.21,1376786.32,2024-07-04,"Bangalore, 173119",FAC03,Factory 3,Plant 3,Bangalore,India,142634,LINE005,Assembly Line 5,Testing,8266,16197,2024-07-06,2024-10-21,2024-07-09,2024-11-07,Cancelled,6,99.78,42,Yes,2024-05-11,2024-09-15,Delayed,14,Order ORD00000034 - Production running smoothly
ORD00000035,2024-06-15,13:13,2024,3,March,Q1,Monday,CUST000036,Customer 36,OEM,Pune,India,customer36@company.com,9638612684,PROD000036,Product 36,PC367452,Electronics,Controllers,High-quality Product 36,690,1171.62,808417.8,2024-07-06,"Pune, 332775",FAC04,Factory 4,Plant 4,Pune,India,792789,LINE006,Assembly Line 6,Assembly,9325,511,2024-10-03,2024-11-26,2024-01-21,2024-07-23,Planned,28,71.88,15,Yes,2024-04-02,2024-06-12,Pending,18,Order ORD00000035 - Quality issues detected
ORD00000036,2024-02-03,10:58,2024,8,August,Q3,Tuesday,CUST000037,Customer 37,Distributor,Hyderabad,India,customer37@company.com,9749103987,PROD000037,Product 37,PC401712,Automotive,Engines,High-quality Product 37,304,3311.09,1006571.36,2024-03-02,"Hyderabad, 563388",FAC05,Factory 5,Plant 5,Hyderabad,India,631177,LINE007,Assembly Line 7,Welding,49536,37828,2024-07-20,2024-09-20,2024-04-06,2024-07-17,In Progress,32,79.25,16,Yes,2024-11-06,2024-12-05,Shipped,15,Order ORD00000036 - Quality issues detected
ORD00000037,2024-07-01,17:12,2024,12,December,Q4,Wednesday,CUST000038,Customer 38,Retailer,Chennai,India,customer38@company.com,9293296898,PROD000038,Product 38,PC865492,Machinery,Pumps,High-quality Product 38,768,1752.51,1345927.68,2024-06-24,"Chennai, 627675",FAC06,Factory 6,Plant 6,Chennai,India,793819,LINE008,Assembly Line 8,Painting,37572,9090,2024-12-14,2024-06-13,2024-06-17,2024-05-02,Completed,23,88.63,25,Yes,2024-10-15,2024-03-08,In Transit,18,Order ORD00000037 - Production running smoothly
ORD00000038,2024-09-18,08:42,2024,10,October,Q4,Thursday,CUST000039,Customer 39,Corporate,Kolkata,India,customer39@company.com,9101290178,PROD000039,Product 39,PC167402,Consumer Goods,Appliances,High-quality Product 39,228,3437.25,783693,2024-02-03,"Kolkata, 528249",FAC07,Factory 7,Plant 7,Kolkata,India,822137,LINE009,Assembly Line 9,Packaging,6275,11707,2024-03-13,null,2024-06-11,null,On Hold,46,96.81,35,Yes,2024-04-18,2024-05-01,Delivered,7,Order ORD00000038 - Production running smoothly
ORD00000039,2024-05-26,16:04,2024,10,October,Q4,Friday,CUST000040,Customer 40,Individual,Jaipur,India,customer40@company.com,9538812791,PROD000040,Product 40,PC733597,Industrial Equipment,Motors,High-quality Product 40,242,2553.4,617922.8,2024-11-23,"Jaipur, 479725",FAC08,Factory 8,Plant 8,Jaipur,India,126042,LINE010,Assembly Line 10,Testing,8635,39640,2024-11-28,2024-08-23,2024-06-19,null,Cancelled,87,99.12,26,Yes,2024-09-26,2024-02-03,Delayed,14,Order ORD00000039 - Production running smoothly
ORD00000040,2024-03-07,11:52,2024,5,May,Q2,Saturday,CUST000041,Customer 41,OEM,Mumbai,India,customer41@company.com,9762548650,PROD000041,Product 41,PC867232,Electronics,Controllers,High-quality Product 41,531,4520.65,2400465.15,2024-06-08,"Mumbai, 530892",FAC01,Factory 1,Plant 1,Mumbai,India,657366,LINE011,Assembly Line 11,Assembly,29041,5735,2024-08-20,2024-04-16,2024-10-11,2024-12-25,Planned,92,71.1,50,Yes,2024-11-19,2024-10-21,Pending,4,Order ORD00000040 - Quality issues detected
ORD00000041,2024-04-23,09:35,2024,9,September,Q3,Sunday,CUST000042,Customer 42,Distributor,Delhi,India,customer42@company.com,9576857577,PROD000042,Product 42,PC824911,Automotive,Engines,High-quality Product 42,864,3622.59,3129917.76,2024-01-05,"Delhi, 588249",FAC02,Factory 2,Plant 2,Delhi,India,324217,LINE012,Assembly Line 12,Welding,43107,37449,2024-12-28,2024-09-09,2024-04-17,null,In Progress,99,79.79,6,No,2024-12-27,2024-06-25,Shipped,17,Order ORD00000041 - Quality issues detected
ORD00000042,2024-04-20,12:32,2024,11,November,Q4,Monday,CUST000043,Customer 43,Retailer,Bangalore,India,customer43@company.com,9674293045,PROD000043,Product 43,PC149415,Machinery,Pumps,High-quality Product 43,515,2109.05,1086160.75,2024-04-18,"Bangalore, 940302",FAC03,Factory 3,Plant 3,Bangalore,India,671298,LINE013,Assembly Line 13,Painting,40903,15781,2024-05-10,2024-03-16,2024-09-14,null,Completed,7,76.52,19,Yes,2024-10-09,2024-12-23,In Transit,3,Order ORD00000042 - Quality issues detected
ORD00000043,2024-12-19,14:01,2024,11,November,Q4,Tuesday,CUST000044,Customer 44,Corporate,Pune,India,customer44@company.com,9155593501,PROD000044,Product 44,PC745435,Consumer Goods,Appliances,High-quality Product 44,318,3602.82,1145696.76,2024-04-26,"Pune, 568981",FAC04,Factory 4,Plant 4,Pune,India,372887,LINE014,Assembly Line 14,Packaging,40699,17357,2024-03-23,2024-09-19,2024-07-25,2024-10-21,On Hold,83,85.4,20,Yes,2024-04-04,null,Delivered,8,Order ORD00000043 - Production running smoothly
ORD00000044,2024-07-11,16:44,2024,4,April,Q2,Wednesday,CUST000045,Customer 45,Individual,Hyderabad,India,customer45@company.com,9398306115,PROD000045,Product 45,PC602754,Industrial Equipment,Motors,High-quality Product 45,940,584.68,549599.2,2024-08-01,"Hyderabad, 561756",FAC05,Factory 5,Plant 5,Hyderabad,India,681302,LINE015,Assembly Line 15,Testing,28533,8649,2024-07-23,2024-09-07,2024-09-08,null,Cancelled,47,96.51,5,No,2024-08-07,2024-02-24,Delayed,17,Order ORD00000044 - Production running smoothly
ORD00000045,2024-04-12,08:33,2024,6,June,Q2,Thursday,CUST000046,Customer 46,OEM,Chennai,India,customer46@company.com,9190160510,PROD000046,Product 46,PC983165,Electronics,Controllers,High-quality Product 46,921,874.47,805386.87,2024-05-17,"Chennai, 213669",FAC06,Factory 6,Plant 6,Chennai,India,407301,LINE016,Assembly Line 16,Assembly,7817,37951,2024-02-05,2024-07-16,2024-06-17,2024-05-18,Planned,52,90.89,9,No,2024-07-09,2024-02-16,Pending,12,Order ORD00000045 - Production running smoothly
ORD00000046,2024-05-20,16:19,2024,7,July,Q3,Friday,CUST000047,Customer 47,Distributor,Kolkata,India,customer47@company.com,9589508355,PROD000047,Product 47,PC485985,Automotive,Engines,High-quality Product 47,441,2423.44,1068737.04,2024-08-15,"Kolkata, 131620",FAC07,Factory 7,Plant 7,Kolkata,India,358843,LINE017,Assembly Line 17,Welding,1546,19931,2024-11-19,2024-01-19,2024-07-20,2024-09-08,In Progress,34,97.88,21,Yes,2024-04-19,null,Shipped,16,Order ORD00000046 - Production running smoothly
ORD00000047,2024-06-15,10:35,2024,3,March,Q1,Saturday,CUST000048,Customer 48,Retailer,Jaipur,India,customer48@company.com,9635853087,PROD000048,Product 48,PC992078,Machinery,Pumps,High-quality Product 48,944,4656.77,4395990.88,2024-03-14,"Jaipur, 593855",FAC08,Factory 8,Plant 8,Jaipur,India,556086,LINE018,Assembly Line 18,Painting,33844,3212,2024-08-12,2024-12-04,2024-07-19,2024-10-24,Completed,74,79.41,36,Yes,2024-06-24,2024-03-26,In Transit,19,Order ORD00000047 - Quality issues detected
ORD00000048,2024-09-03,12:53,2024,5,May,Q2,Sunday,CUST000049,Customer 49,Corporate,Mumbai,India,customer49@company.com,9759935027,PROD000049,Product 49,PC551879,Consumer Goods,Appliances,High-quality Product 49,159,3887.16,618058.44,2024-06-06,"Mumbai, 362312",FAC01,Factory 1,Plant 1,Mumbai,India,660721,LINE019,Assembly Line 19,Packaging,42570,4137,2024-08-08,2024-10-23,2024-09-05,null,On Hold,22,71.46,9,No,2024-12-03,null,Delivered,5,Order ORD00000048 - Quality issues detected
ORD00000049,2024-07-06,17:25,2024,4,April,Q2,Monday,CUST000050,Customer 50,Individual,Delhi,India,customer50@company.com,9486521399,PROD000050,Product 50,PC211404,Industrial Equipment,Motors,High-quality Product 50,81,284.79,23067.99,2024-10-18,"Delhi, 899139",FAC02,Factory 2,Plant 2,Delhi,India,485255,LINE020,Assembly Line 20,Testing,49578,5410,2024-11-23,null,2024-01-17,2024-12-09,Cancelled,58,86.1,36,Yes,2024-04-22,2024-09-14,Delayed,17,Order ORD00000049 - Production running smoothly
